year	clipa	grid	dev_desc	species	strainname	nostocked	yreq	events
2005	0	2531	Yearling	brown trout	Ganaraska River	12000	12000	3
2005	0	2631	Fingerling	chinook salmon	Wild	18204	7282	1
2005	0	2631	Yearling	brown trout	Ganaraska River	6000	6000	2
2005	0	2730	Yearling	brown trout	Ganaraska River	9000	9000	2
2005	0	2829	Yearling	brown trout	Ganaraska River	9000	9000	3
2005	0	3030	Fingerling	rainbow trout	Wild	30000	12000	4
2005	0	3230	Fingerling	rainbow trout	Wild	118000	47200	12
2005	0	3330	Fry	rainbow trout	Wild	28000	560	2
2005	0	3430	Fry	rainbow trout	Wild	28000	560	2
2005	0	3828	Fingerling	chinook salmon	Wild	14060	5624	1
2005	0	3925	Fingerling	chinook salmon	Wild	2900	1160	1
2005	0	3925	Fingerling	rainbow trout	Domestic/Aquaculture	2500	1000	1
2005	0	3926	Fingerling	chinook salmon	Wild	10300	4120	1
2005	0	4022	Fingerling	rainbow trout	Domestic/Aquaculture	18320	7328	5
2005	0	4024	Fingerling	chinook salmon	Wild	25100	10040	2
2005	2	1330	Fingerling	lake trout	Michipicoten	299671	119869	5
2005	2	1535	Fingerling	lake trout	Slate Island	61040	24416	1
2005	2	1939	Fingerling	lake trout	Slate Island	76894	30758	2
2005	2	1952	Yearling	brown trout	Ganaraska River	10052	10052	1
2005	2	2053	Yearling	brown trout	Ganaraska River	5024	5024	1
2005	2	2054	Yearling	brown trout	Ganaraska River	4950	4950	2
2005	2	2246	Fingerling	lake trout	Slate Island	91680	36672	2
2005	2	2250	Yearling	brown trout	Ganaraska River	5025	5025	1
2005	3	1937	Fingerling	rainbow trout	Wild	2086	834	1
2005	3	1937	Yearling	rainbow trout	Wild	17280	17280	4
2005	3	2139	Yearling	rainbow trout	Wild	9000	9000	1
2005	4	0331	Yearling	lake trout	Iroquois Bay	3221	3221	1
2005	4	0430	Yearling	lake trout	Iroquois Bay	59408	59408	2
2005	4	0521	Yearling	lake trout	Big Sound	81798	81798	3
2005	4	0521	Yearling	lake trout	Iroquois Bay	85456	85456	3
2005	4	0625	Yearling	lake trout	Big Sound	1172	1172	1
2005	4	0625	Yearling	lake trout	Iroquois Bay	2134	2134	1
2005	4	0628	Yearling	lake trout	Iroquois Bay	82876	82876	4
2005	4	0730	Yearling	lake trout	Michipicoten	782	782	1
2005	4	0933	Yearling	lake trout	Michipicoten	36509	36509	1
2005	4	0935	Yearling	lake trout	Michipicoten	58415	58415	2
2005	4	1026	Yearling	lake trout	Michipicoten	38074	38074	1
2005	4	1031	Yearling	lake trout	Michipicoten	72496	72496	2
2005	4	1244	Yearling	lake trout	Big Sound	43646	43646	2
2005	4	1246	Yearling	lake trout	Big Sound	36489	36489	2
2005	4	1330	Yearling	lake trout	Michipicoten	40740	40740	1
2005	4	1331	Yearling	lake trout	Michipicoten	208312	208312	4
2005	4	1535	Yearling	lake trout	Slate Island	96939	96939	2
2005	4	1636	Yearling	lake trout	Slate Island	63327	63327	3
2005	4	2040	Yearling	lake trout	Slate Island	38582	38582	2
2005	4	2043	Yearling	lake trout	Seneca Lake	91665	91665	4
2005	4	2043	Yearling	lake trout	Slate Island	55973	55973	2
2005	4	2140	Yearling	lake trout	Slate Island	66596	66596	2
